,№,General standard #,Freq.,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning
,768,0768,398,八 12.5,106982,"0,055300%",5,4,7,兵,bīng,bing,first,"soldier, troops"
,769,0769,1326,人 9.5,17943,"0,009275%",4,5,7,估,gū,gu,first,"merchant; estimate, guess, presume"
,770,0770,149,人 9.5,273792,"0,141525%",2,1,7,体,tǐ,ti,third,"body; group, class, body, unit; inferior"
,771,0771,229,人 9.5,184335,"0,095284%",4,3,7,何,hé,he,second,"what, why, where, which, how"
,772,0772,2081,人 9.5,6378,"0,003297%",,7–9,7,佐,zuǒ,zuo,third,"assist, aid, second; subordinate"
,773,0773,2775,人 9.5,2589,"0,001338%",,7–9,7,佑,yòu,you,fourth,"help, protect, bless"
,774,0774,95,人 9.5,374459,"0,193561%",2,2,7,但,dàn,dan,fourth,"only; but, however, yet, still"
,775,0775,1161,人 9.5,23732,"0,012267%",5,5,7,伸,shēn,shen,first,"extend, stretch out, open up; trust"
,776,0776,3245,人 9.5,1401,"0,000724%",,,7,佃,diàn,dian,fourth,tenant farmer; be a tenant farmer
,777,0777,49,人 9.5,542791,"0,280573%",1,1,7,作,zuò,zuo,fourth,"make; work; compose, write; act, perform"
,778,0778,821,人 9.5,42513,"0,021975%",6,7–9,7,伯,bó,bo,second,father's elder brother; senior
,779,0779,2906,人 9.5,2148,"0,001110%",6,,7,伶,líng,ling,second,"lonely, solitary; actor"
,780,0780,2546,人 9.5,3517,"0,001818%",6,7–9,7,佣,yōng,yong,first,commission fee
,781,0781,592,人 9.5,68424,"0,035369%",4,2,7,低,dī,di,first,"low; to lower, hang, bend, bow"
,782,0782,32,人 9.5,705205,"0,364526%",1,1,7,你,nǐ,ni,third,"you, second person pronoun"
,783,0783,309,人 9.5,138503,"0,071593%",1,1,7,住,zhù,zhu,fourth,"reside, live at, dwell, lodge; stop"
,784,0784,182,人 9.5,214983,"0,111127%",3,2,7,位,wèi,wei,fourth,"throne; position, post; rank, status; seat"
,785,0785,1298,人 9.5,18678,"0,009655%",5,4,7,伴,bàn,ban,fourth,"companion, comrade, partner; accompany"
,786,0786,164,身 158.0,249725,"0,129085%",2,1,7,身,shēn,shen,first,"body; trunk, hull; rad. no. 158"
,787,0787,3087,白 106.2,1691,"0,000874%",5,7–9,7,皂,zào,zao,fourth,soap; black; menial servant
,788,0788,2782,人 9.5,2570,"0,001328%",6,7–9,7,伺,cì,ci,fourth,"serve, wait upon, attend; examine"
,789,0789,771,人 9.5,47038,"0,024314%",5,6,7,佛,fú,fu,second,Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)
,790,0790,3555,囗 31.4,968,"0,000500%",,7–9,7,囱,cōng,cong,first,chimney
,791,0791,374,辵 162.4,115441,"0,059672%",2,2,7,近,jìn,jin,fourth,"near, close; approach; intimate"
,792,0792,1240,彳 60.4,20461,"0,010576%",5,4,7,彻,chè,che,fourth,"penetrate, pervade; penetrating"
,793,0793,1245,彳 60.4,20254,"0,010469%",6,7–9,7,役,yì,yi,fourth,"service; a servant, laborer; to serve"
,794,0794,1430,辵 162.4,15179,"0,007846%",5,5,7,返,fǎn,fan,third,"return, revert to, restore"
,795,0795,729,人 9.5,50601,"0,026156%",5,4,7,余,yú,yu,second,"I, my, me; surname; surplus"
,796,0796,508,巾 50.4,80460,"0,041590%",2,3,7,希,xī,xi,first,"rare; hope, expect, strive for"
,797,0797,611,土 32.4,66293,"0,034267%",1,1,7,坐,zuò,zuo,fourth,"sit; seat; ride, travel by"
,798,0798,1095,谷 150.0,26005,"0,013442%",6,6,7,谷,gǔ,gu,third,"valley, gorge, ravine"
,799,0799,1840,女 38.4,8634,"0,004463%",6,7–9,7,妥,tuǒ,tuo,third,"satisfactory, appropriate"
,800,0800,937,口 30.4,34759,"0,017967%",5,4,7,含,hán,han,second,hold in mouth; cherish; contain
,801,0801,1659,邑 163.5,10996,"0,005684%",3,5,7,邻,lín,lin,second,neighbor; neighborhood
,802,0802,3134,山 46.4,1599,"0,000827%",6,7–9,7,岔,chà,cha,fourth,"diverge, branch off; fork in road"
,803,0803,1760,肉 130.3,9551,"0,004937%",,6,7,肝,gān,gan,first,liver
,804,0804,3394,肉 130.3,1147,"0,000593%",,,7,肛,gāng,gang,first,anus
,805,0805,1800,肉 130.3,9102,"0,004705%",4,4,7,肚,dù,du,fourth,belly; abdomen; bowels
,806,0806,3010,肉 130.3,1877,"0,000970%",,,7,肘,zhǒu,zhou,third,the elbow; help a person shoulder a load
,807,0807,1921,肉 130.3,7939,"0,004104%",5,5,7,肠,cháng,chang,second,intestines; emotions; sausage
,808,0808,2392,龜 213.0,4265,"0,002205%",,7–9,7,龟,guī,gui,first,turtle or tortoise; cuckold
,809,0809,2588,田 102.2,3270,"0,001690%",,7–9,7,甸,diān,dian,first,suburbs of capital; govern; crops
,810,0810,755,儿 10.5,48044,"0,024834%",4,4,7,免,miǎn,mian,third,spare; excuse from; evade
,811,0811,1147,犬 94.4,24259,"0,012540%",5,5,7,狂,kuáng,kuang,second,"insane, mad; violent; wild"
,812,0812,1230,犬 94.4,20747,"0,010724%",5,5,7,犹,yóu,you,second,"like, similar to, just like, as"
,813,0813,3090,犬 94.4,1688,"0,000873%",6,7–9,7,狈,bèi,bei,fourth,a legendary animal with short forelegs which rode a wolf
,814,0814,736,角 148.0,50081,"0,025887%",3,2,7,角,jiǎo,jiao,third,"horn; angle, corner; point"
,815,0815,2780,刀 18.5,2577,"0,001332%",5,7–9,7,删,shān,shan,first,to cut; delete
,816,0816,214,木 75.3,191280,"0,098874%",2,1,7,条,tiáo,tiao,second,"clause, condition; string, stripe"
,817,0817,4075,彡 59.4,536,"0,000277%",,,7,彤,tóng,tong,second,"red, vermilion; name of ancient"
,818,0818,2008,卩 26.5,6971,"0,003603%",,7–9,7,卵,luǎn,luan,third,egg; ovum; roe; spawn
,819,0819,4024,火 86.3,566,"0,000293%",,7–9,7,灸,jiǔ,jiu,third,cauterize with moxa; moxibustion
,820,0820,798,山 46.4,44056,"0,022773%",5,6,7,岛,dǎo,dao,third,island
,821,0821,3623,刀 18.5,888,"0,000459%",,7–9,7,刨,páo,pao,second,"to dig, to excavate; carpenter's plane"
,822,0822,1069,辵 162.4,27228,"0,014074%",3,2,7,迎,yíng,ying,second,"receive, welcome, greet"
,823,0823,935,食 184.4,35076,"0,018131%",1,1,7,饭,fàn,fan,fourth,"cooked rice; food, meal"
,824,0824,1569,食 184.4,12453,"0,006437%",3,5,7,饮,yǐn,yin,third,drink; swallow; kind of drink
,825,0825,216,糸 120.1,190769,"0,098610%",1,1,7,系,xì,xi,fourth,"system; line, link, connection"
,826,0826,355,言 149.0,120308,"0,062188%",4,2,7,言,yán,yan,second,"words, speech; speak, say"
,827,0827,2127,冫 15.5,5984,"0,003093%",5,5,7,冻,dòng,dong,fourth,"freeze; cold, congeal; jelly"
,828,0828,624,犬 94.3,64495,"0,033338%",5,3,7,状,zhuàng,zhuang,fourth,form; appearance; shape; official
,829,0829,2360,亠 8.5,4439,"0,002295%",,7–9,7,亩,mǔ,mu,third,Chinese land measure; fields
,830,0830,419,冫 15.5,100680,"0,052042%",4,3,7,况,kuàng,kuang,fourth,"condition, situation; furthermore"
,831,0831,1068,广 53.4,27283,"0,014103%",2,1,7,床,chuáng,chuang,second,"bed, couch; framework, chassis"
,832,0832,1097,广 53.4,25924,"0,013400%",5,5,7,库,kù,ku,fourth,"armory, treasury, storehouse"
,833,0833,2793,广 53.4,2523,"0,001304%",6,,7,庇,bì,bi,fourth,"cover, shield, shelter, protect"
,834,0834,949,疒 104.2,34467,"0,017816%",5,4,7,疗,liáo,liao,second,"be healed, cured, recover"
,835,0835,3507,口 30.4,1030,"0,000532%",6,,7,吝,lìn,lin,fourth,"stingy, miserly, parsimonious"
,836,0836,144,广 53.4,280384,"0,144933%",3,2,7,应,yīng,ying,first,"should, ought to, must"
,837,0837,11,辵 162.4,1552042,"0,802264%",1,1,7,这,zhè,zhe,fourth,"this, the, here"
,838,0838,700,冫 15.5,53460,"0,027634%",1,1,7,冷,lěng,leng,third,"cold, cool; lonely"
,839,0839,2927,广 53.4,2097,"0,001084%",,,7,庐,lú,lu,second,"hut, cottage; name of a mountain"
,840,0840,836,广 53.4,41129,"0,021260%",4,4,7,序,xù,xu,fourth,"series, serial order, sequence"
,841,0841,1463,辛 160.0,14713,"0,007605%",4,5,7,辛,xīn,xin,first,"bitter; toilsome, laborious; 8th heavenly stem"
,842,0842,1105,廾 55.4,25730,"0,013300%",4,5,7,弃,qì,qi,fourth,"reject, abandon, discard"
,843,0843,2792,冫 15.5,2525,"0,001305%",,7–9,7,冶,yě,ye,third,"smelt, fuse metals; cast, found"
,844,0844,1056,心 61.3,27961,"0,014453%",3,1,7,忘,wàng,wang,fourth,"forget; neglect; miss, omit"
,845,0845,4183,門 169.4,470,"0,000243%",,,7,闰,rùn,run,fourth,"intercalary; extra, surplus"
,846,0846,1529,門 169.4,13316,"0,006883%",5,5,7,闲,xián,xian,second,"fence, guard; defend; idle time"
,847,0847,135,門 169.4,292227,"0,151055%",2,1,7,间,jiān,jian,first,"midpoint, space; place, locality"
,848,0848,1830,門 169.4,8708,"0,004501%",6,7–9,7,闷,mèn,men,fourth,"gloomy, depressed, melancholy"
,849,0849,719,刀 18.5,52045,"0,026902%",4,3,7,判,pàn,pan,fourth,judge; discriminate; conclude
,850,0850,2424,儿 10.5,4101,"0,002120%",5,7–9,7,兑,duì,dui,fourth,cash; exchange
,851,0851,2691,火 86.3,2891,"0,001494%",6,7–9,7,灶,zào,zao,fourth,"kitchen stove, cooking stove"
,852,0852,2591,火 86.3,3254,"0,001682%",6,7–9,7,灿,càn,can,fourth,"vivid, illuminating; bright"
,853,0853,2867,火 86.3,2262,"0,001169%",,7–9,7,灼,zhuó,zhuo,second,burn; broil; cauterize; bright
,854,0854,816,弓 57.4,42706,"0,022075%",2,1,7,弟,dì,di,fourth,"young brother; junior; i, me"
,855,0855,1876,水 85.4,8294,"0,004287%",,7–9,7,汪,wāng,wang,first,"vast, extensive, deep; surname"
,856,0856,3464,水 85.4,1072,"0,000554%",6,7–9,7,沐,mù,mu,fourth,"bathe, cleanse, wash, shampoo"
,857,0857,3032,水 85.4,1834,"0,000948%",6,7–9,7,沛,pèi,pei,fourth,"abundant, full, copious; sudden"
,858,0858,2969,水 85.4,1968,"0,001017%",6,7–9,7,汰,tài,tai,fourth,"excessive; scour, wash out"
,859,0859,3598,水 85.4,918,"0,000475%",,,7,沥,lì,li,fourth,"trickle, drip; strain; dregs"
,860,0860,848,水 85.4,40573,"0,020973%",4,3,7,沙,shā,sha,first,"sand, gravel, pebbles; granulated"
,861,0861,1200,水 85.4,22098,"0,011423%",2,1,7,汽,qì,qi,fourth,"steam, vapor, gas"
,862,0862,1808,水 85.4,9047,"0,004676%",6,7–9,7,沃,wò,wo,fourth,"water, irrigate; fertile, rich"
,863,0863,2733,水 85.4,2738,"0,001415%",,,7,沦,lún,lun,second,"be lost; sink, be submerged"
,864,0864,2746,水 85.4,2684,"0,001387%",6,7–9,7,汹,xiōng,xiong,first,"turbulent; noisy, restless"
,865,0865,1327,水 85.5,17928,"0,009267%",5,5,7,泛,fàn,fan,fourth,"to drift, float; careless, reckless"
,866,0866,3023,水 85.4,1848,"0,000955%",6,7–9,7,沧,cāng,cang,first,"blue, dark green; cold"
,867,0867,72,水 85.4,428146,"0,221312%",1,1,7,没,méi,mei,second,"not, have not, none; drown, sink"
,868,0868,1610,水 85.4,11735,"0,006066%",5,5,7,沟,gōu,gou,first,"ditch, drain, narrow waterway"
,869,0869,2734,水 85.4,2737,"0,001415%",,7–9,7,沪,hù,hu,fourth,Shanghai; river near Shanghai
,870,0870,1681,水 85.4,10628,"0,005494%",,,7,沈,chén,chen,second,"sink, submerge; addicted to; surname"
,871,0871,747,水 85.4,48772,"0,025211%",5,4,7,沉,chén,chen,second,"sink, submerge; addicted to"
,872,0872,3025,水 85.4,1847,"0,000955%",,,7,沁,qìn,qin,fourth,"soak into, seep in, percolate"
,873,0873,762,心 61.4,47561,"0,024585%",4,4,7,怀,huái,huai,second,"bosom, breast; carry in bosom"
,874,0874,1461,心 61.4,14753,"0,007626%",6,6,7,忧,yōu,you,first,"sad, grieved; grief, melancholy"
,875,0875,3328,心 61.4,1268,"0,000655%",,,7,忱,chén,chen,second,"truth, sincerity; sincere"
,876,0876,366,心 61.4,116923,"0,060438%",2,1,7,快,kuài,kuai,fourth,"rapid, quick, speedy, fast; soon"
,877,0877,301,宀 40.4,143120,"0,073980%",2,2,7,完,wán,wan,second,"complete, finish, settle; whole"
,878,0878,990,宀 40.4,31748,"0,016411%",,7–9,7,宋,sòng,song,fourth,Song dynasty; surname
,879,0879,1798,宀 40.4,9134,"0,004721%",6,6,7,宏,hóng,hong,second,"wide, spacious, great, vast"
,880,0880,1696,牛 93.3,10454,"0,005404%",6,6,7,牢,láo,lao,second,"prison; stable, pen; secure"
,881,0881,429,穴 116.2,98377,"0,050852%",4,4,7,究,jiū,jiu,first,"examine, investigate"
,882,0882,1343,穴 116.2,17672,"0,009135%",4,4,7,穷,qióng,qiong,second,"poor, destitute, impoverished"
,883,0883,1349,火 86.3,17531,"0,009062%",5,5,7,灾,zāi,zai,first,"calamity, disaster, catastrophe"
,884,0884,835,艮 138.1,41167,"0,021280%",5,4,7,良,liáng,liang,second,"good, virtuous, respectable"
,885,0885,373,言 149.5,115610,"0,059760%",4,3,7,证,zhèng,zheng,fourth,"prove, confirm, verify; proof"
,886,0886,1320,口 30.4,18041,"0,009326%",5,5,7,启,qǐ,qi,third,"open; begin, commence; explain"
,887,0887,809,言 149.5,42966,"0,022209%",4,3,7,评,píng,ping,second,"appraise, criticize, evaluate"
,888,0888,944,衣 145.2,34542,"0,017855%",5,3,7,补,bǔ,bu,third,"mend, patch, fix, repair, restore"
,889,0889,667,刀 18.5,58587,"0,030284%",5,3,7,初,chū,chu,first,"beginning, initial, primary"
,890,0890,270,示 113.3,159527,"0,082461%",4,3,7,社,shè,she,fourth,"god of the soil and altars to him; group of families; company, society"
,891,0891,3123,示 113.3,1621,"0,000838%",,7–9,7,祀,sì,si,fourth,"to sacrifice, worship"
,892,0892,340,言 149.5,125220,"0,064727%",1,1,7,识,shí,shi,second,"recognize, understand, know"
,893,0893,2403,言 149.5,4200,"0,002171%",6,7–9,7,诈,zhà,zha,fourth,"cheat, defraud, swindle; trick"
,894,0894,595,言 149.5,68147,"0,035226%",2,1,7,诉,sù,su,fourth,accuse; sue; inform; narrate
,895,0895,2221,网 122.3,5409,"0,002796%",6,7–9,7,罕,hǎn,han,third,"rare, scarce; surname"
,896,0896,1401,言 149.5,15931,"0,008235%",5,5,7,诊,zhěn,zhen,third,"examine patient, diagnose"
,897,0897,959,言 149.5,33669,"0,017404%",3,2,7,词,cí,ci,second,"words; phrase, expression"
,898,0898,1198,言 149.5,22170,"0,011460%",4,4,7,译,yì,yi,fourth,translate; decode; encode
,899,0899,985,口 30.4,31960,"0,016520%",6,7–9,7,君,jūn,jun,first,"sovereign, monarch, ruler, chief, prince"
,900,0900,734,彐 58.4,50134,"0,025915%",5,6,7,灵,líng,ling,second,"spirit, soul; spiritual world"
,901,0901,293,卩 26.5,146459,"0,075706%",4,4,7,即,jí,ji,second,"promptly, quickly, immediately"
,902,0902,699,尸 44.4,53705,"0,027761%",3,2,7,层,céng,ceng,second,"storey, layer, floor, stratum"
,903,0903,2295,尸 44.4,4884,"0,002525%",6,,7,屁,pì,pi,fourth,break wind; fart; buttocks
,904,0904,1877,尸 44.4,8292,"0,004286%",,7–9,7,尿,niào,niao,fourth,urine; urinate
,905,0905,1282,尸 44.4,19076,"0,009861%",5,4,7,尾,wěi,wei,third,"tail, extremity; end, stern"
,906,0906,1374,辵 162.4,16808,"0,008688%",3,4,7,迟,chí,chi,second,"late, tardy; slow; delay"
,907,0907,483,尸 44.4,84587,"0,043724%",4,4,7,局,jú,ju,second,"bureau, office; circumstance"
,908,0908,350,攴 66.3,121023,"0,062558%",4,2,7,改,gǎi,gai,third,"change, alter; improve, remodel"
,909,0909,318,弓 57.4,136087,"0,070345%",3,3,7,张,zhāng,zhang,first,"stretch, extend, expand; sheet"
,910,0910,1922,心 61.3,7938,"0,004103%",6,7–9,7,忌,jì,ji,fourth,"jealous, envious; fear"
,911,0911,423,阜 170.5,99412,"0,051387%",4,2,7,际,jì,ji,fourth,"border, boundary, juncture"
,912,0912,675,阜 170.5,57430,"0,029686%",5,4,7,陆,lù,lu,fourth,"land, continental; army"
,913,0913,471,阜 170.5,87159,"0,045053%",3,4,7,阿,ā,a,first,"prefix used before monosyllabic names, kinship terms etc to indicate familiarity"
,914,0914,525,阜 170.5,77914,"0,040274%",6,7–9,7,陈,chén,chen,second,"exhibit, display; plead; a surname"
,915,0915,1175,阜 170.5,23151,"0,011967%",5,4,7,阻,zǔ,zu,third,"impede, hinder, obstruct; oppose"
,916,0916,923,阜 170.5,35955,"0,018585%",3,4,7,附,fù,fu,fourth,"adhere to, append; rely on near to"
,917,0917,2279,土 32.4,4980,"0,002574%",6,7–9,7,坠,zhuì,zhui,fourth,"fall down, drop, sink, go to ruin"
,918,0918,2777,女 38.4,2582,"0,001335%",,,7,妓,jì,ji,fourth,prostitute
,919,0919,1250,女 38.4,20165,"0,010423%",5,6,7,妙,miào,miao,fourth,"mysterious, subtle; exquisite"
,920,0920,1869,女 38.4,8337,"0,004309%",,7–9,7,妖,yāo,yao,first,"strange, weird, supernatural"
,921,0921,2236,女 38.5,5272,"0,002725%",,,7,姊,zǐ,zi,third,elder sister
,922,0922,1873,女 38.4,8311,"0,004296%",5,7–9,7,妨,fáng,fang,second,"interfere with, impede, obstruct"
,923,0923,2598,女 38.4,3228,"0,001669%",6,7–9,7,妒,dù,du,fourth,"jealous, envious"
,924,0924,1081,力 19.5,26564,"0,013731%",3,2,7,努,nǔ,nu,third,"to exert, strive, make an effort; to pout"
,925,0925,1127,心 61.3,24862,"0,012851%",5,5,7,忍,rěn,ren,third,"endure, bear, suffer; forbear"
,926,0926,1358,力 19.5,17307,"0,008946%",5,4,7,劲,jìn,jin,fourth,"strong, unyielding, tough, power"
,927,0927,2069,矢 111.2,6490,"0,003355%",,7–9,7,矣,yǐ,yi,third,particle of completed action
,928,0928,1391,鳥 196.2,16164,"0,008355%",2,1,7,鸡,jī,ji,first,chicken
,929,0929,2697,糸 120.4,2874,"0,001486%",6,7–9,7,纬,wěi,wei,third,woof; parallels of latitude
,930,0930,1511,馬 187.4,13692,"0,007078%",6,7–9,7,驱,qū,qu,first,"spur a horse on; expel, drive away"
,931,0931,1125,糸 120.4,24890,"0,012866%",5,4,7,纯,chún,chun,second,"pure, clean, simple"
,932,0932,2430,糸 120.4,4069,"0,002103%",,7–9,7,纱,shā,sha,first,"gauze, thin silk; yarn, thread"
,933,0933,1934,糸 120.4,7832,"0,004048%",5,5,7,纲,gāng,gang,first,"heavy rope, hawser; main points"
,934,0934,684,糸 120.4,55597,"0,028739%",5,6,7,纳,nà,na,fourth,"admit, take, receive, accept"
,935,0935,2022,馬 187.4,6879,"0,003556%",6,7–9,7,驳,bó,bo,second,"varicolored, variegated; mixed"
,936,0936,1236,糸 120.4,20599,"0,010648%",6,6,7,纵,zòng,zong,fourth,"indulge in, give free reign to"
,937,0937,1181,糸 120.4,22820,"0,011796%",5,4,7,纷,fēn,fen,first,"in disorder, scattered, tangled"
,938,0938,1020,糸 120.4,30001,"0,015508%",2,2,7,纸,zhǐ,zhi,third,paper
,939,0939,1768,糸 120.4,9463,"0,004892%",6,7–9,7,纹,wén,wen,second,"line, streak, stripe; wrinkle"
,940,0940,2409,糸 120.4,4175,"0,002158%",6,7–9,7,纺,fǎng,fang,third,"spin, reel, weave; reeled pongee"
,941,0941,2543,馬 187.4,3532,"0,001826%",,,7,驴,lǘ,lü,second,"donkey, ass"
,942,0942,1767,糸 120.4,9466,"0,004893%",6,7–9,7,纽,niǔ,niu,third,"knot; button; handle, knob; tie"
,943,0943,1382,大 37.5,16453,"0,008505%",6,6,8,奉,fèng,feng,fourth,offer; receive; serve; respect
,944,0944,1072,玉 96.4,27043,"0,013979%",2,1,8,玩,wán,wan,second,"play with, joke, enjoy"
,945,0945,681,玉 96.4,55971,"0,028932%",3,3,8,环,huán,huan,second,jade ring or bracelet; ring
,946,0946,501,止 77.4,81863,"0,042316%",5,3,8,武,wǔ,wu,third,"military; martial, warlike"
,947,0947,497,青 174.0,82619,"0,042706%",5,2,8,青,qīng,qing,first,"blue, green, black; young"
,948,0948,535,貝 154.4,76377,"0,039480%",4,3,8,责,zé,ze,second,"duty, responsibility; to reproach, to blame"
,949,0949,70,玉 96.4,433960,"0,224318%",1,1,8,现,xiàn,xian,fourth,"appear, manifest, become visible"
,950,0950,2303,玉 96.4,4839,"0,002501%",,7–9,8,玫,méi,mei,second,rose
,951,0951,177,衣 145.3,226768,"0,117218%",2,2,8,表,biǎo,biao,third,"show, express, manifest, display"
,952,0952,321,見 147.4,134528,"0,069539%",4,3,8,规,guī,gui,first,"rules, regulations, customs, law"
,953,0953,2087,手 64.5,6299,"0,003256%",6,7–9,8,抹,mǒ,mo,third,"smear, apply, wipe off, erase"
,954,0954,3119,卜 25.6,1628,"0,000842%",,7–9,8,卦,guà,gua,fourth,fortune telling; tell fortunes
,955,0955,3872,土 32.5,649,"0,000335%",,,8,坷,kě,ke,third,"clod of earth, lump of soil"
,956,0956,3788,土 32.5,720,"0,000372%",,,8,坯,pī,pi,first,"dam, embankment; weir"
,957,0957,2238,手 64.5,5256,"0,002717%",6,7–9,8,拓,tà,ta,fourth,expand; open up; support or push
,958,0958,2374,手 64.5,4390,"0,002269%",6,7–9,8,拢,lǒng,long,third,"collect, bring together"
,959,0959,1502,手 64.5,13865,"0,007167%",6,5,8,拔,bá,ba,second,"uproot, pull out"
,960,0960,2716,土 32.5,2815,"0,001455%",,7–9,8,坪,píng,ping,second,level ground; Japanese measure
,961,0961,2965,手 64.5,1981,"0,001024%",6,7–9,8,拣,jiǎn,jian,third,choose; select; pick up; gather
,962,0962,1017,土 32.5,30341,"0,015684%",5,5,8,坦,tǎn,tan,third,"flat, smooth; self-possessed"
,963,0963,720,手 64.5,51792,"0,026772%",3,4,8,担,dān,dan,first,"carry, bear, undertake"
,964,0964,2910,土 32.5,2141,"0,001107%",,,8,坤,kūn,kun,first,"earth; feminine, female"
,965,0965,1775,手 64.5,9401,"0,004859%",5,5,8,押,yā,ya,first,"mortgage, pledge; deposit; to pawn; to arrest, detain, guard"
,966,0966,1178,手 64.5,22937,"0,011856%",4,4,8,抽,chōu,chou,first,"draw out, pull out; sprout"
,967,0967,2232,手 64.5,5282,"0,002730%",5,6,8,拐,guǎi,guai,third,"kidnap, abduct; turn"
,968,0968,1492,手 64.5,13973,"0,007223%",6,6,8,拖,tuō,tuo,first,"drag, tow, haul; delay, prolong"
,969,0969,103,老 125.4,360974,"0,186591%",3,2,8,者,zhě,zhe,third,that which; he who; those who
,970,0970,1167,手 64.5,23483,"0,012139%",5,3,8,拍,pāi,pai,first,"clap, tap, beat; beat or rhythm"
,971,0971,1000,頁 181.2,31318,"0,016189%",5,4,8,顶,dǐng,ding,third,"top, summit, peak; to carry on the head"
,972,0972,2076,手 64.5,6412,"0,003314%",5,5,8,拆,chāi,chai,first,"to break up, split apart, rip open; to destroy"
,973,0973,3380,手 64.5,1176,"0,000608%",,7–9,8,拎,līn,lin,first,to haul; to lift; to take
,974,0974,1059,手 64.5,27833,"0,014387%",5,5,8,拥,yōng,yong,first,"embrace, hug, squeeze; crowd"
,975,0975,1119,手 64.5,25228,"0,013041%",6,6,8,抵,dǐ,di,third,"resist, oppose; deny; off-set"
,976,0976,2098,手 64.5,6224,"0,003217%",6,7–9,8,拘,jū,ju,first,"restrain, seize, detain"
,977,0977,506,力 19.6,80705,"0,041717%",5,3,8,势,shì,shi,fourth,"power, force; tendency"
,978,0978,1122,手 64.5,25069,"0,012958%",4,4,8,抱,bào,bao,fourth,"embrace, hold in arms, enfold"
,979,0979,4240,手 64.5,444,"0,000230%",6,7–9,8,拄,zhǔ,zhu,third,lean on; post; prod; ridicule
,980,0980,2628,土 32.5,3127,"0,001616%",4,4,8,垃,lā,la,first,"garbage, refuse, waste"
,981,0981,324,手 64.5,134051,"0,069292%",4,2,8,拉,lā,la,first,"pull, drag; seize, hold; lengthen"
,982,0982,1996,手 64.5,7091,"0,003665%",5,7–9,8,拦,lán,lan,second,"obstruct, impede, bar, hinder"
,983,0983,902,干 51.5,37198,"0,019228%",4,3,8,幸,xìng,xing,fourth,"luck(ily), favor, fortunately"
,984,0984,3570,手 64.5,950,"0,000491%",6,7–9,8,拌,bàn,ban,fourth,mix
,985,0985,3178,手 64.5,1529,"0,000790%",6,7–9,8,拧,níng,ning,second,"pinch; twist, wring; determined"
,986,0986,2623,手 64.5,3135,"0,001621%",,,8,拂,fú,fu,second,"shake off, brush away; dust"
,987,0987,2709,手 64.5,2833,"0,001464%",6,7–9,8,拙,zhuō,zhuo,first,"stupid, clumsy, crude; convention"
,988,0988,941,手 64.5,34625,"0,017898%",4,4,8,招,zhāo,zhao,first,"beckon, summon; recruit, levy"
,989,0989,1550,土 32.5,12758,"0,006595%",6,6,8,坡,pō,po,first,"slope, bank, hillside"
,990,0990,2032,手 64.5,6790,"0,003510%",5,5,8,披,pī,pi,first,wear; split; crack
,991,0991,1807,手 64.5,9047,"0,004676%",6,6,8,拨,bō,bo,first,move; dispel; distribute
,992,0992,961,手 64.5,33615,"0,017376%",3,4,8,择,zé,ze,second,"select, choose, pick out"
,993,0993,1386,手 64.5,16315,"0,008433%",4,5,8,抬,tái,tai,second,"lift, carry"
,994,0994,3031,手 64.5,1839,"0,000951%",,,8,拇,mǔ,mu,third,thumb; big toe
,995,0995,3629,手 64.5,881,"0,000455%",,,8,拗,ǎo,ao,third,"to pull, drag, break off, to pluck (a flower); bent, warped; perverse, obstinate"
,996,0996,85,八 12.6,403028,"0,208329%",3,2,8,其,qí,qi,second,"his, her, its, their; that"
,997,0997,323,又 29.6,134102,"0,069318%",4,2,8,取,qǔ,qu,third,"take, receive, obtain; select"
,998,0998,4064,艸 140.5,545,"0,000282%",,,8,茉,mò,mo,fourth,white jasmine
,999,0999,634,艸 140.5,63194,"0,032666%",4,3,8,苦,kǔ,ku,third,"bitter; hardship, suffering"
,1000,1000,2388,日 72.4,4320,"0,002233%",6,7–9,8,昔,xī,xi,first,formerly; ancient; in beginning
,1001,1001,3095,艸 140.5,1679,"0,000868%",,7–9,8,苛,kē,ke,first,"small, petty; harsh, rigorous"
,1002,1002,651,艸 140.5,60736,"0,031395%",6,6,8,若,ruò,ruo,fourth,"if, supposing, assuming; similar"
,1003,1003,2309,艸 140.5,4798,"0,002480%",6,7–9,8,茂,mào,mao,fourth,"thick, lush, dense; talented"
,1004,1004,2478,艸 140.5,3805,"0,001967%",1,3,8,苹,píng,ping,second,artemisia; duckweed; apple
,1005,1005,1920,艸 140.5,7946,"0,004107%",5,7–9,8,苗,miáo,miao,second,sprouts; Miao nationality
,1006,1006,371,艸 140.5,116193,"0,060061%",5,2,8,英,yīng,ying,first,"petal, flower, leaf; brave, a hero; England, English"
,1007,1007,2886,艸 140.5,2213,"0,001144%",6,,8,苟,gǒu,gou,third,"careless, frivolous; illicit; grammatical particle: if, but, if only; surname; grass name; distinguish DKW 30853 (ji4)"
,1008,1008,2853,艸 140.5,2303,"0,001190%",,,8,苑,yuàn,yuan,fourth,"pasture, park, garden; mansion"
,1009,1009,3798,艸 140.5,712,"0,000368%",,,8,苞,bāo,bao,first,"a variety of rush; firm, enduring; to burst forth"
